draw_id,date,n1,n2,n3,n4,n5,n6,strong
3966,15/09/2026,10,16,17,22,35,37,6
3965,13/09/2026,2,15,22,28,29,32,1
3964,08/09/2026,2,4,9,20,32,33,5
3963,05/09/2026,2,9,11,20,23,29,2
3962,03/09/2026,2,4,8,9,21,23,5
3961,01/09/2026,1,2,7,21,31,35,3
3960,29/08/2026,1,4,6,9,34,35,4
3959,25/08/2026,3,18,20,21,24,34,6
3958,22/08/2026,4,5,6,9,11,17,1
3957,18/08/2026,1,3,5,10,11,18,5
3956,15/08/2026,1,9,13,17,22,23,5
3955,13/08/2026,1,3,13,16,19,29,1
3954,11/08/2026,2,6,18,20,31,34,6
3953,08/08/2026,1,6,9,16,22,33,7
3952,04/08/2026,1,9,13,20,23,35,4
3951,01/08/2026,12,14,16,18,32,33,4
3950,28/07/2026,1,8,9,19,21,23,7
3949,25/07/2026,8,14,20,25,26,34,6
3948,21/07/2026,11,12,13,19,20,36,4
3947,18/07/2026,5,6,8,31,32,36,4
3946,16/07/2026,2,14,21,26,27,28,2
3945,14/07/2026,5,8,23,26,35,37,7
3944,11/07/2026,7,14,28,30,31,37,1
3943,07/07/2026,5,15,16,27,32,37,2
3942,04/07/2026,6,7,18,19,23,34,1
3941,30/06/2026,5,7,24,31,34,37,4
3940,27/06/2026,5,6,8,13,24,37,5
3939,25/06/2026,7,12,16,18,29,35,7
3938,23/06/2026,1,7,12,14,30,32,2
3937,20/06/2026,3,5,6,15,21,36,5
3936,16/06/2026,6,11,21,24,26,29,4
3935,13/06/2026,4,11,13,25,32,37,5
3934,09/06/2026,11,19,20,29,31,35,2
3933,06/06/2026,7,11,18,22,35,36,4
3932,04/06/2026,4,8,18,21,28,36,2
3931,02/06/2026,1,4,17,26,32,37,3
3930,30/05/2026,10,23,25,28,32,33,4
3929,26/05/2026,5,6,9,15,16,21,5
3928,24/05/2026,2,5,6,8,30,37,6
3927,19/05/2026,4,10,18,21,32,33,2
3926,16/05/2026,4,9,14,18,21,32,2
3925,14/05/2026,9,10,17,18,21,32,2
3924,12/05/2026,2,5,11,14,24,29,3
3923,09/05/2026,1,7,19,22,27,34,5
3922,05/05/2026,4,11,30,32,35,36,6
3921,02/05/2026,5,8,27,31,32,34,7
3920,28/04/2026,3,7,12,18,24,27,5
3919,25/04/2026,5,6,12,19,24,27,7
3918,23/04/2026,7,8,15,16,21,24,4
3917,18/04/2026,3,13,15,16,19,27,6
3916,14/04/2026,1,3,16,17,18,37,2
3915,11/04/2026,16,17,18,19,26,29,6
3914,09/04/2026,1,2,8,16,17,25,7
3913,04/04/2026,10,17,21,23,26,34,3
3912,31/03/2026,13,18,19,21,29,37,5
3911,28/03/2026,2,3,8,9,10,11,2
3910,26/03/2026,8,13,15,27,28,31,3
3909,24/03/2026,9,10,23,25,27,30,3
3908,21/03/2026,2,7,8,26,34,36,1
3907,17/03/2026,22,24,25,27,30,37,2
3906,14/03/2026,5,7,20,22,31,35,2
3905,12/03/2026,2,4,7,9,10,13,7
3904,10/03/2026,19,20,23,24,31,33,6
3903,07/03/2026,3,8,10,17,29,35,7
3902,24/02/2026,13,15,16,20,35,36,7
3901,21/02/2026,4,8,11,18,19,35,7
3900,19/02/2026,7,9,25,26,35,36,3
3899,17/02/2026,7,10,14,25,29,36,7
3898,14/02/2026,6,9,10,11,21,22,2
3897,10/02/2026,1,3,8,20,24,37,1
3896,07/02/2026,13,14,26,31,33,36,4
3895,03/02/2026,5,8,30,32,33,34,2
3894,31/01/2026,5,23,25,27,28,32,2
3893,29/01/2026,5,14,18,22,26,31,5
3892,27/01/2026,3,15,21,23,26,35,1
3891,24/01/2026,3,7,13,18,19,35,1
3890,20/01/2026,7,19,32,34,35,37,4
3889,17/01/2026,10,11,16,17,21,29,6
3888,13/01/2026,1,2,13,15,24,31,6
3887,10/01/2026,9,11,12,19,22,37,5
3886,08/01/2026,1,2,7,18,23,25,5
3885,06/01/2026,1,16,21,30,34,36,3
3884,03/01/2026,6,10,18,22,29,34,6
3883,30/12/2025,1,10,16,17,25,31,5
3882,27/12/2025,8,11,15,18,24,34,4
3881,25/12/2025,11,22,26,29,30,37,4
3880,23/12/2025,2,9,11,19,22,28,4
3879,20/12/2025,7,8,10,12,13,21,5
3878,16/12/2025,1,5,23,25,28,33,2
3877,13/12/2025,1,7,21,24,28,33,2
3876,09/12/2025,5,8,9,25,34,36,1
3875,06/12/2025,4,14,17,26,31,34,6
3874,04/12/2025,9,12,13,17,19,33,4
3873,02/12/2025,1,11,24,25,36,37,3
3872,29/11/2025,16,23,27,29,30,33,3
3871,25/11/2025,7,14,25,28,33,36,3
3870,22/11/2025,6,7,14,23,24,33,5
3869,18/11/2025,5,6,13,20,26,27,4
3868,15/11/2025,2,21,26,27,30,33,5
3867,13/11/2025,5,8,16,19,35,36,5
3866,11/11/2025,1,3,4,17,22,28,2
3865,08/11/2025,2,14,18,20,28,32,7
3864,04/11/2025,12,15,18,19,29,37,4
3863,01/11/2025,12,14,17,18,34,37,2
3862,28/10/2025,5,7,21,24,30,32,5
3861,25/10/2025,5,10,12,17,24,36,6
3860,23/10/2025,4,6,16,17,24,31,7
3859,21/10/2025,20,22,23,25,26,27,6
3858,18/10/2025,23,28,29,31,35,36,6
3857,14/10/2025,2,6,9,13,17,27,1
3856,11/10/2025,10,18,20,21,29,34,2
3855,09/10/2025,4,19,22,23,27,33,5
3854,05/10/2025,12,14,17,19,31,33,3
3853,30/09/2025,8,12,18,22,31,32,5
3852,27/09/2025,17,23,25,27,30,37,4
3851,25/09/2025,2,3,15,25,31,32,5
3850,20/09/2025,3,24,33,35,36,37,3
3849,16/09/2025,1,2,11,17,19,26,6
3848,13/09/2025,2,4,7,14,30,36,4
3847,11/09/2025,10,14,18,27,28,34,3
3846,09/09/2025,2,4,20,23,29,34,1
3845,06/09/2025,13,25,26,28,30,35,4
3844,02/09/2025,2,7,19,26,27,32,5
3843,30/08/2025,3,4,8,24,25,26,6
3842,28/08/2025,20,21,23,24,28,31,4
3841,26/08/2025,11,14,24,25,26,30,3
3840,23/08/2025,9,10,11,14,16,27,7
3839,19/08/2025,1,3,7,17,20,35,4
3838,16/08/2025,21,22,24,25,29,35,1
3837,14/08/2025,3,6,13,28,30,31,7
3836,12/08/2025,6,16,21,34,35,37,6
3835,09/08/2025,17,25,29,30,31,35,2
3834,05/08/2025,10,16,18,26,29,30,3
3833,03/08/2025,8,10,13,18,23,26,4
3832,29/07/2025,11,17,20,24,32,35,6
3831,26/07/2025,2,4,18,25,26,36,5
3830,24/07/2025,2,10,16,28,29,33,2
3829,22/07/2025,2,5,11,12,28,29,5
